11:36:36   22.01.2015              Programm Climap                 MeteoSchweiz
Zeitangaben in UTC 0040 (UTC)  =  01:40 Uhr Winterzeit  =  02:40 Uhr Sommerzeit
Auswahlperiode: 01.01.2014 10:20  -  22.01.2015 10:20 UTC 32767 -> Keine Angabe
Anzahl Stationen  1
    29	Samedan                 1709 m.ü.M.	787149/ 155701
Anzahl Parameter  6
   261  Lufttemperatur 2 m über Boden; Stundenmittel  [°C]
   266  Relative Luftfeuchtigkeit 2 m über Boden; Stundenmittel  [%]
   283  Windgeschwindigkeit skalar; Stundenmittel  [m/s]
   269  Globalstrahlung; Stundenmittel  [W/m²]
   306  Luftdruck auf Stationshöhe (QFE); Stundenmittel  [hPa]
   267  Niederschlag; Stundensumme  [mm]

  STA JAHR MO TG HH MM   261   266   283   269   306   267
   29 2014  1  8  2  0 -10.4  94.1   0.8     0 833.8   0.0 
   29 2014  1  8  3  0  -9.0  91.8   0.7     0 833.6   0.0 
   29 2014  1  8  4  0  -9.5  94.3   0.7     0 833.8   0.0 
   29 2014  1  8  5  0  -9.2  92.8   1.0     0 833.7   0.0 
   29 2014  1  8  6  0  -9.3  93.7   0.5     0 834.1   0.0 
   29 2014  1  8  7  0 -10.2  93.9   0.5     8 834.6   0.0 
   29 2014  1  8  8  0 -10.3  93.4   0.8    46 835.1   0.0 
   29 2014  1  8  9  0  -8.3  91.7   0.6   199 835.2   0.0 
   29 2014  1  8 10  0  -7.6  91.8   0.3   323 835.1   0.0 
   29 2014  1  8 11  0  -4.9  88.4   0.2   356 834.7   0.0 
   29 2014  1  8 12  0  -2.5  86.3   0.4   299 834.3   0.0 
   29 2014  1  8 13  0  -1.4  84.3   0.4   235 833.9   0.0 
   29 2014  1  8 14  0  -1.2  87.0   0.6   159 833.8   0.0 
   29 2014  1  8 15  0  -1.4  93.8   0.7    68 834.0   0.0 
   29 2014  1  8 16  0  -2.8  99.2   0.5     1 834.1   0.0 
   29 2014  1  8 17  0  -4.8  99.9   0.3     0 834.1   0.0 
   29 2014  1  8 18  0  -5.4  98.8   0.4     0 834.4   0.0 
   29 2014  1  8 19  0  -6.1  98.6   0.6     0 834.5   0.0 
   29 2014  1  8 20  0  -6.0  98.2   0.8     0 834.5   0.0 
   29 2014  1  8 21  0  -7.1  97.2   0.6     0 834.2   0.0 
   29 2014  1  8 22  0  -7.5  98.1   0.5     0 834.2   0.0 
   29 2014  1  8 23  0  -7.4  97.3   0.5     0 834.0   0.0 
   29 2014  1  9  0  0  -7.9  97.9   0.7     0 833.5   0.0 
   29 2014  1  9  1  0  -7.6  95.6   0.7     0 833.1   0.0 
   29 2014  1  9  2  0  -7.9  95.0   0.6     0 832.9   0.0 
   29 2014  1  9  3  0  -8.1  95.6   0.5     0 832.5   0.0 
   29 2014  1  9  4  0  -8.5  94.1   0.5     0 831.9   0.0 
   29 2014  1  9  5  0  -9.3  95.2   0.6     0 831.6   0.0 
   29 2014  1  9  6  0  -8.2  93.5   0.5     0 831.4   0.0 
   29 2014  1  9  7  0  -8.2  93.0   0.5     8 831.5   0.0 
   29 2014  1  9  8  0  -7.6  91.7   0.7    71 831.4   0.0 
   29 2014  1  9  9  0  -7.0  92.1   0.7   177 831.3   0.0 
   29 2014  1  9 10  0  -4.5  90.2   0.5   215 831.0   0.0 
   29 2014  1  9 11  0  -3.0  89.7   0.6   270 830.1   0.0 
   29 2014  1  9 12  0  -1.7  89.8   0.7   255 829.4   0.0 
   29 2014  1  9 13  0  -0.2  88.4   0.5   274 828.6   0.0 
   29 2014  1  9 14  0  -0.4  92.5   1.0   115 828.3   0.0 
   29 2014  1  9 15  0  -0.8  93.0   1.1    48 828.1   0.0 
   29 2014  1  9 16  0  -1.0  93.6   1.7     0 828.0   0.0 
   29 2014  1  9 17  0  -2.0  94.0   1.4     0 827.8   0.0 
   29 2014  1  9 18  0  -1.8  89.2   2.2     0 827.7   0.0 
   29 2014  1  9 19  0  -1.3  87.2   2.5     0 827.5   0.0 
   29 2014  1  9 20  0  -0.8  85.7   4.0     0 827.3   0.0 
   29 2014  1  9 21  0  -0.7  87.1   5.3     0 827.1   0.0 
   29 2014  1  9 22  0  -1.1  89.5   5.4     0 826.8   0.0 
   29 2014  1  9 23  0  -0.5  88.3   6.5     0 826.5   0.0 
   29 2014  1 10  0  0  -0.1  85.9   7.3     0 826.1   0.0 
   29 2014  1 10  1  0   0.3  83.8   6.5     0 825.9   0.0 
   29 2014  1 10  2  0   0.2  82.6   6.1     0 825.6   0.0 
   29 2014  1 10  3  0   0.4  82.4   5.7     0 825.6   0.0 
   29 2014  1 10  4  0  -0.4  86.8   4.2     0 825.2   0.0 
   29 2014  1 10  5  0  -0.9  89.4   1.2     0 825.4   0.0 
   29 2014  1 10  6  0  -0.9  90.9   1.7     0 826.0   0.0 
   29 2014  1 10  7  0  -0.6  92.6   1.7     3 826.3   0.0 
   29 2014  1 10  8  0  -0.4  92.1   1.4    26 826.8   0.0 
   29 2014  1 10  9  0  -0.7  92.9   0.4    70 827.3   0.0 
   29 2014  1 10 10  0  -0.8  92.9   1.9   111 827.5   0.0 
   29 2014  1 10 11  0  -0.2  93.8   2.5   124 827.4   0.0 
   29 2014  1 10 12  0   0.0  93.7   2.2   138 827.2   0.0 
   29 2014  1 10 13  0  -0.1  93.5   0.9   109 827.2   0.0 
   29 2014  1 10 14  0  -0.1  93.6   0.4    93 827.3   0.0 
   29 2014  1 10 15  0  -0.4  95.2   0.9    55 827.5   0.0 
   29 2014  1 10 16  0  -0.9  96.3   1.1     6 827.8   0.0 
   29 2014  1 10 17  0  -1.7  96.8   0.6     0 828.2   0.0 
   29 2014  1 10 18  0  -1.3  97.2   0.6     0 828.3   0.0 
   29 2014  1 10 19  0  -0.7  92.8   2.7     0 828.6   0.0 
   29 2014  1 10 20  0   0.0  90.5   3.5     0 829.0   0.0 
   29 2014  1 10 21  0  -0.9  91.2   2.4     0 829.1   0.0 
   29 2014  1 10 22  0  -2.5  94.4   1.0     0 829.1   0.0 
   29 2014  1 10 23  0  -3.1  93.2   1.7     0 829.2   0.0 
   29 2014  1 11  0  0  -2.9  92.9   1.8     0 829.1   0.0 
   29 2014  1 11  1  0  -3.2  92.5   1.7     0 829.2   0.0 
   29 2014  1 11  2  0  -4.2  92.4   1.0     0 829.2   0.0 
   29 2014  1 11  3  0  -5.3  93.0   1.1     0 829.4   0.0 
   29 2014  1 11  4  0  -5.4  94.4   0.5     0 829.2   0.0 
   29 2014  1 11  5  0  -6.6  94.7   0.8     0 829.1   0.0 
   29 2014  1 11  6  0  -6.8  95.3   0.6     0 829.3   0.0 
   29 2014  1 11  7  0  -5.7  93.3   0.8     7 829.4   0.0 
   29 2014  1 11  8  0  -5.6  94.8   0.6    69 829.6   0.0 
   29 2014  1 11  9  0  -4.1  91.3   1.1   223 829.6   0.0 
   29 2014  1 11 10  0  -0.4  81.5   3.2   338 829.6   0.0 
   29 2014  1 11 11  0   0.6  81.9   4.0   366 829.5   0.0 
   29 2014  1 11 12  0   0.7  82.7   4.5   249 829.2   0.0 
   29 2014  1 11 13  0   0.4  84.8   3.6   163 829.1   0.0 
   29 2014  1 11 14  0  -0.2  86.6   2.5    81 829.1   0.0 
   29 2014  1 11 15  0  -1.0  89.8   2.2    36 829.4   0.0 
   29 2014  1 11 16  0  -1.0  90.3   2.4     1 829.5   0.0 
   29 2014  1 11 17  0  -1.9  93.4   0.8     0 830.0   0.0 
   29 2014  1 11 18  0  -1.9  92.6   1.3     0 830.5   0.0 
   29 2014  1 11 19  0  -2.3  95.6   0.7     0 830.6   0.0 
   29 2014  1 11 20  0  -3.0  95.3   1.2     0 831.0   0.0 
   29 2014  1 11 21  0  -3.8  97.9   0.4     0 831.2   0.0 
   29 2014  1 11 22  0  -4.1  96.2   0.8     0 831.6   0.0 
   29 2014  1 11 23  0  -4.4  97.4   0.3     0 831.8   0.0 
   29 2014  1 12  0  0  -5.7  97.1   1.2     0 832.1   0.0 
   29 2014  1 12  1  0  -7.0  99.2   0.4     0 832.3   0.0 
   29 2014  1 12  2  0  -8.9  97.0   0.8     0 832.5   0.0 
   29 2014  1 12  3  0  -9.7  98.5   0.6     0 832.8   0.0 
   29 2014  1 12  4  0 -10.4  97.0   0.7     0 833.2   0.0 
   29 2014  1 12  5  0 -10.4  92.8   0.8     0 833.0   0.0 
   29 2014  1 12  6  0 -11.3  89.7   0.8     0 833.1   0.0 
   29 2014  1 12  7  0 -12.0  90.2   0.7     4 833.5   0.0 
   29 2014  1 12  8  0 -12.9  90.0   0.5    34 833.9   0.0 
   29 2014  1 12  9  0 -12.9  96.4   0.2   275 833.9   0.0 
   29 2014  1 12 10  0 -10.3  91.2   0.2   375 833.6   0.0 
   29 2014  1 12 11  0  -7.7  82.1   0.3   422 833.0   0.0 
   29 2014  1 12 12  0  -5.4  70.6   0.2   413 832.4   0.0 
   29 2014  1 12 13  0  -5.5  73.8   0.2   344 831.8   0.0 
   29 2014  1 12 14  0  -5.1  69.8   0.1   229 831.5   0.0 
   29 2014  1 12 15  0  -5.9  78.8   0.2    72 831.4   0.0 
   29 2014  1 12 16  0  -8.8  78.4   1.2     1 831.5   0.0 
   29 2014  1 12 17  0 -10.1  80.1   1.2     0 831.5   0.0 
   29 2014  1 12 18  0 -12.0  83.0   1.3     0 831.6   0.0 
   29 2014  1 12 19  0 -13.1  83.3   1.2     0 831.7   0.0 
   29 2014  1 12 20  0 -13.6  84.4   0.7     0 831.8   0.0 
   29 2014  1 12 21  0 -14.6  85.7   0.9     0 831.6   0.0 
   29 2014  1 12 22  0 -15.5  87.7   1.0     0 831.3   0.0 
   29 2014  1 12 23  0 -14.9  85.1   1.1     0 831.0   0.0 
   29 2014  1 13  0  0 -15.8  86.8   1.0     0 830.8   0.0 
   29 2014  1 13  1  0 -15.1  84.8   1.3     0 830.4   0.0 
   29 2014  1 13  2  0 -16.0  88.3   0.6     0 830.0   0.0 
   29 2014  1 13  3  0 -15.8  86.9   1.0     0 829.5   0.0 
   29 2014  1 13  4  0 -15.3  86.4   0.9     0 829.0   0.0 
   29 2014  1 13  5  0 -15.5  88.4   0.9     0 828.5   0.0 
   29 2014  1 13  6  0 -14.7  86.2   1.0     0 828.3   0.0 
   29 2014  1 13  7  0 -15.1  88.3   1.0     5 828.4   0.0 
   29 2014  1 13  8  0 -14.2  87.1   0.7    36 828.2   0.0 
   29 2014  1 13  9  0 -11.7  86.2   0.4   264 827.8   0.0 
   29 2014  1 13 10  0  -8.9  79.8   0.4   359 827.1   0.0 
   29 2014  1 13 11  0  -6.1  74.5   1.0   218 826.2   0.0 
   29 2014  1 13 12  0  -3.1  68.9   1.4   216 825.0   0.0 
   29 2014  1 13 13  0  -0.8  56.0   1.7   199 824.2   0.0 
   29 2014  1 13 14  0   0.7  46.8   3.1   118 824.0   0.0 
   29 2014  1 13 15  0  -1.5  57.7   1.7    63 823.5   0.0 
   29 2014  1 13 16  0  -0.6  46.7   4.6     1 823.6   0.0 
   29 2014  1 13 17  0  -1.4  54.8   2.9     0 823.4   0.0 
   29 2014  1 13 18  0  -2.7  68.7   2.3     0 823.0   0.0 
   29 2014  1 13 19  0  -1.8  64.5   3.3     0 822.9   0.0 
   29 2014  1 13 20  0  -3.0  76.9   1.1     0 822.3   0.0 
   29 2014  1 13 21  0  -4.3  88.1   1.0     0 821.6   0.0 
   29 2014  1 13 22  0  -4.1  92.0   0.9     0 821.0   0.1 
   29 2014  1 13 23  0  -4.0  94.0   0.7     0 820.2   0.6 
   29 2014  1 14  0  0  -4.2  95.6   0.3     0 819.3   0.4 
   29 2014  1 14  1  0  -4.2  94.9   0.3     0 818.4   0.4 
   29 2014  1 14  2  0  -3.6  94.4   0.8     0 817.6   1.0 
   29 2014  1 14  3  0  -3.5  95.4   0.7     0 816.9   2.0 
   29 2014  1 14  4  0  -3.4  94.5   0.4     0 816.1   1.5 
   29 2014  1 14  5  0  -3.5  95.8   0.3     0 815.7   1.0 
   29 2014  1 14  6  0  -3.6  96.5   0.5     0 815.4   0.6 
   29 2014  1 14  7  0  -3.6  96.1   0.4     3 815.2   0.7 
   29 2014  1 14  8  0  -3.4  95.5   0.7    23 815.0   1.3 
   29 2014  1 14  9  0  -3.4  95.1   1.4    50 814.8   1.6 
   29 2014  1 14 10  0  -3.3  94.6   1.2    67 814.3   1.4 
   29 2014  1 14 11  0  -3.3  95.2   0.1    91 813.9   1.6 
   29 2014  1 14 12  0  -2.9  93.7   0.1   110 813.5   1.4 
   29 2014  1 14 13  0  -2.7  93.6   0.4    99 813.3   0.6 
   29 2014  1 14 14  0  -2.7  95.0   0.3    30 813.6   1.2 
   29 2014  1 14 15  0  -2.1  92.6   0.8     9 814.2   0.4 
   29 2014  1 14 16  0  -2.0  83.5   3.9     0 814.9   0.1 
   29 2014  1 14 17  0  -2.6  90.1   3.7     0 816.0   0.0 
   29 2014  1 14 18  0  -3.3  88.1   3.8     0 816.7   0.0 
   29 2014  1 14 19  0  -4.5  89.1   2.0     0 817.4   0.0 
   29 2014  1 14 20  0  -5.5  91.0   0.6     0 817.9   0.0 
   29 2014  1 14 21  0  -5.6  91.6   0.3     0 818.2   0.0 
   29 2014  1 14 22  0  -6.6  93.1   0.4     0 818.2   0.0 
